"Year","Region_name","All_motor_vehicles",
"2019","West Midlands","16472"
"2021","London","15232"
"2003","South East","60137"
"2012","South West","11152"
"2003","North West","48292"
"2007","West Midlands","7593"
"2008","Scotland","71569"
"2017","North East","13680"
"2008","North West","14811"
"2002","South West","37670"
"2006","Scotland","3325"
"2003","West Midlands","17981"
"2007","Scotland","16747"
"2016","London","12977"
"2019","North East","503"
"2018","Scotland","2205"
"2009","South West","1536"
"2021","East of England","14310"
"2019","North East","24052"
"2019","Yorkshire and the Humber","14413"
"2012","West Midlands","14366"
"2006","South East","31736"
"2000","London","9832"
"2017","London","21397"
"2006","North East","57726"
"2002","Wales","4112"
"2006","East of England","1708"
"2015","Scotland","3925"
"2011","East of England","7460"
"2016","North West","13384"
"2009","Yorkshire and the Humber","9696"
"2016","West Midlands","15356"
"2016","London","17772"
"2011","Yorkshire and the Humber","9981"
"2001","South West","773"
"2015","South East","19006"
"2013","Yorkshire and the Humber","8375"
"2017","Wales","13555"
"2018","South East","12226"
"2004","Wales","25749"
"2000","South East","227"
"2015","West Midlands","17381"
"2020","East of England","2448"
"2004","North West","5693"
"2007","Yorkshire and the Humber","6204"
"2018","Yorkshire and the Humber","3053"
"2008","East of England","4251"
"2012","South East","11698"
"2008","West Midlands","10565"
"2014","North West","11544"
"2019","South East","15815"
"2004","South West","1909"
"2010","London","23516"
"2005","East Midlands","26488"
"2016","North West","7638"
"2010","South West","6289"
"2012","North West","28673"
"2014","North East","45956"
"2012","East Midlands","21764"
"2000","Wales","10346"
"2016","Yorkshire and the Humber","54"
"2002","West Midlands","13412"
"2002","London","8834"
"2018","East of England","11056"
"2013","East of England","14829"
"2004","East Midlands","21984"
"2019","South West","56"
"2014","Yorkshire and the Humber","14791"
"2019","London","21038"
"2001","Wales","17989"
"2017","London","13820"
"2007","North East","6542"
"2013","North West","26850"
"2006","Yorkshire and the Humber","12987"
"2002","East Midlands","20790"
"2012","East of England","16813"
"2010","East of England","13932"
"2000","West Midlands","2701"
"2009","South West","3632"
"2000","Yorkshire and the Humber","2793"
"2016","South West","8766"
"2003","West Midlands","5699"
"2018","South West","7668"
"2006","East Midlands","14926"
"2020","South West","5980"
"2020","Yorkshire and the Humber","15339"
"2002","East Midlands","37754"
"2021","Wales","13243"
"2011","London","19241"
"2002","East of England","13301"
"2012","West Midlands","1833"
"2015","South East","33714"
"2005","North East","3828"
"2021","South East","6025"
"2019","South East","188"
"2013","Scotland","4649"
"2010","South East","5470"
"2005","West Midlands","13955"
"2012","Yorkshire and the Humber","10128"
"2017","South East","34779"
"2001","North East","18409"
"2017","South East","3538"
"2020","Wales","200"
"2006","South West","13282"
"2011","West Midlands","6466"
"2004","East of England","67080"
"2014","East of England","5740"
"2001","West Midlands","3471"
"2019","Scotland","6107"
"2020","South East","1063"
"2007","South West","10637"
"2015","South East","1047"
"2000","Scotland","6292"
"2011","South West","33984"
"2012","East Midlands","58340"
"2006","South East","39689"
"2020","East Midlands","3859"
"2017","East Midlands","12144"
"2019","East Midlands","18598"
"2012","Yorkshire and the Humber","19255"
"2003","East of England","14179"
"2021","Wales","2199"
"2019","Wales","41318"
"2012","North West","7226"
"2006","North West","12545"
"2010","East of England","28913"
"2016","East Midlands","11961"
"2020","South East","10343"
"2003","South West","12623"
"2006","West Midlands","13047"
"2013","Yorkshire and the Humber","12068"
"2018","London","10499"
"2003","London","13152"
"2014","South West","10763"
"2007","South East","18561"
"2019","North West","9900"
"2007","London","20153"
"2013","West Midlands","26528"
"2007","Wales","3377"
"2009","South East","1802"
"2012","West Midlands","11514"
"2016","Yorkshire and the Humber","17601"
"2008","South East","5361"
"2020","South East","8196"
"2018","West Midlands","11303"
"2009","East Midlands","1076"
"2000","Yorkshire and the Humber","18001"
"2005","North West","19704"
"2006","West Midlands","13348"
"2007","North West","16234"
"2019","South West","9855"
"2014","London","16292"
"2000","North West","13867"
"2002","Scotland","987"
"2012","Wales","5497"
"2011","Yorkshire and the Humber","21639"
"2019","North East","20907"
"2021","West Midlands","13093"
"2012","East of England","10457"
"2010","Wales","11900"
"2006","South East","956"
"2017","London","14847"
"2018","East Midlands","5439"
"2009","East of England","2276"
"2009","East of England","435"
"2008","Scotland","1537"
"2020","East Midlands","16331"
"2016","North West","13384"
"2017","West Midlands","24056"
"2018","North West","25574"
"2008","Wales","3948"
"2002","London","34960"
"2000","North West","13356"
"2017","North West","1841"
